ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
5889,Lizard Island,Australia East Coast,"Lizard Island, Cairns QLD 4871, Australia",-14.6682801,145.447194,Cairns,Australia,done
1421A,List,Germany,"List, Germany",55.019488,8.4291796,List,Germany,done
6291A,"Lizard Island, Australia",Australia North Coast,"Lizard Island, 3985 Wingham Rd, Comboyne NSW 2429, Australia",-31.6037686,152.4672647,Comboyne,Australia,done
1149,Litlefjorden,Norway,,,,,,not_found
3,Lizard Point,England,"S W Coast Path, Lizard, Helston TR12 7NT, UK",49.958229,-5.206558999999999,Lizard,United Kingdom,done
4615,Little Andaman,Andaman Islands,"Little Andaman, Andaman and Nicobar Islands 744207",10.7448873,92.49999179999999,,India,done
480,Llanddwyn Island,Wales,"Ynys Llanddwyn, United Kingdom",53.1399216,-4.4097799,,United Kingdom,done
471,Llandudno,Wales,"Llandudno LL30, UK",53.324061,-3.827609,Llandudno,United Kingdom,done
369,Loch Leven Head,Scotland,"Loch Leven, Mountain Home, AR 72653, USA",36.2831986,-92.2985194,Mountain Home,United States,done
0505A,Llanelli,Wales,"Llanelli, UK",51.680886,-4.160248,Llanelli,United Kingdom,done
0383A,Loch Melfort,Scotland,"Argyll, Arduaine, Oban PA34 4XG, UK",56.235045,-5.554322,Arduaine,United Kingdom,done
0522E,Llanthony,England,"Llanthony, Abergavenny NP7 7NN, UK",51.9446388,-3.0369284,Llanthony,United Kingdom,done
355,Loch Moidart,Scotland,"Loch Moidart, United Kingdom",56.7869781,-5.834485600000001,,United Kingdom,done
2767,Lloyd Harbour,United States,"Lloyd Harbor, NY, USA",40.9034315,-73.4598432,Lloyd Harbor,United States,done
330,Loch Nedd,Scotland,"Loch Nedd, United Kingdom",58.2393989,-5.1711272,,United Kingdom,done
9548,Lobitos,Peru,"Lobitos District, Peru",-4.4564351,-81.2821647,Lobitos District,Peru,done
0393B,Loch Ranza,Scotland,"Lochranza, Isle of Arran KA27, UK",55.703024,-5.2907209,Lochranza,United Kingdom,done
9555,Lobos De Afuera,Peru,Islas Lobos de Afuera,-6.9352778,-80.7205556,,,done
0353B,Loch Scresort,Scotland,"Loch Scresort, United Kingdom",57.0199195,-6.2426279,,United Kingdom,done
7015,Loc Chuc San,Vietnam,"2886 16th St, San Francisco, CA 94103, USA",37.7654608,-122.4170937,San Francisco,United States,done
309,Loch Shell,Scotland,,,,,,not_found
340,Loch A' Bhraige,Scotland,"Loch a' Bhraige, United Kingdom",57.576117,-5.969948599999999,,United Kingdom,done
312,Loch Skipport,Scotland,"Lochskipport, Isle of South Uist HS8, UK",57.327465,-7.277025000000001,Lochskipport,United Kingdom,done
365,Loch Aline,Scotland,"Lochaline, Oban PA34, UK",56.53486299999999,-5.777343,Lochaline,United Kingdom,done
